timestep,heading_deg,pos_x_m,pos_z_m
0,-0.171,5.0,-0.01
1,-0.339,10.0,-0.04
2,-0.84,15.0,-0.12
3,-1.189,20.0,-0.22
4,-0.6,25.0,-0.27
5,0.253,30.0,-0.25
6,-0.258,35.0,-0.27
7,0.053,40.0,-0.27
8,0.727,45.0,-0.21
9,0.449,50.0,-0.17
10,0.43,55.0,-0.13
11,1.135,60.0,-0.03
12,1.096,65.0,0.07
13,0.911,69.99,0.14
14,1.195,74.99,0.25
15,0.872,79.99,0.33
16,1.635,84.99,0.47
17,0.555,89.99,0.52
18,0.828,94.99,0.59
19,0.578,99.99,0.64
20,-0.426,104.99,0.6
21,-1.006,109.99,0.51
22,-0.824,114.99,0.44
23,-0.799,119.99,0.37
24,-0.839,124.99,0.3
25,-1.416,129.99,0.18
26,-1.557,134.98,0.04
27,-0.184,139.98,0.02
28,-0.541,144.98,-0.02
29,-0.495,149.98,-0.07
30,-0.208,154.98,-0.09
31,-0.877,159.98,-0.16
32,-0.399,164.98,-0.2
33,-0.204,169.98,-0.21
34,-0.594,174.98,-0.27
35,-0.606,179.98,-0.32
36,-1.011,184.98,-0.41
37,-0.082,189.98,-0.41
38,0.181,194.98,-0.4
39,0.325,199.98,-0.37
40,0.099,204.98,-0.36
41,-0.187,209.98,-0.38
42,-0.584,214.98,-0.43
43,0.089,219.98,-0.42
44,-0.427,224.98,-0.46
45,-1.142,229.98,-0.56
46,-1.196,234.98,-0.66
47,-1.267,239.98,-0.77
48,-1.352,244.98,-0.89
49,-1.805,249.97,-1.05
50,-1.395,254.97,-1.17
51,-1.07,259.97,-1.26
52,-1.127,264.97,-1.36
53,-1.697,269.97,-1.51
54,-1.543,274.97,-1.64
55,-2.589,279.96,-1.87
56,-2.282,284.96,-2.07
57,-2.119,289.95,-2.25
58,-2.401,294.95,-2.46
59,-1.339,299.95,-2.58
60,-1.545,304.95,-2.72
61,-1.467,309.94,-2.84
62,-0.988,314.94,-2.93
63,-1.299,319.94,-3.04
64,-1.236,324.94,-3.15
65,-1.425,329.94,-3.28
66,-0.81,334.94,-3.35
67,-0.727,339.94,-3.41
68,-0.21,344.94,-3.43
69,0.116,349.94,-3.42
70,0.761,354.94,-3.35
71,0.89,359.94,-3.27
72,1.534,364.94,-3.14
73,1.144,369.94,-3.04
74,1.696,374.93,-2.89
75,2.366,379.93,-2.69
76,1.836,384.93,-2.53
77,1.735,389.92,-2.37
78,1.498,394.92,-2.24
79,1.062,399.92,-2.15
80,0.356,404.92,-2.12
81,-0.358,409.92,-2.15
82,0.277,414.92,-2.13
83,0.152,419.92,-2.11
84,0.169,424.92,-2.1
85,0.217,429.92,-2.08
86,0.207,434.92,-2.06
87,0.428,439.92,-2.02
88,1.071,444.92,-1.93
89,0.651,449.92,-1.87
90,0.421,454.92,-1.84
91,1.335,459.92,-1.72
92,1.157,464.92,-1.62
93,0.781,469.92,-1.55
