freq_ghz,photoluminescence_normalized
2.8,1.0
2.80028,1.0
2.80056,1.0
2.80084,1.0
2.80112,1.0
2.8014,1.0
2.80168,1.0
2.80196,1.0
2.80224,1.0
2.80253,1.0
2.80281,1.0
2.80309,1.0
2.80337,1.0
2.80365,1.0
2.80393,1.0
2.80421,1.0
2.80449,1.0
2.80477,1.0
2.80505,1.0
2.80533,1.0
2.80561,1.0
2.80589,1.0
2.80617,1.0
2.80645,1.0
2.80673,1.0
2.80701,1.0
2.80729,1.0
2.80758,1.0
2.80786,1.0
2.80814,1.0
2.80842,1.0
2.8087,1.0
2.80898,1.0
2.80926,1.0
2.80954,1.0
2.80982,1.0
2.8101,1.0
2.81038,1.0
2.81066,1.0
2.81094,1.0
2.81122,1.0
2.8115,1.0
2.81178,1.0
2.81206,1.0
2.81234,1.0
2.81263,1.0
2.81291,1.0
2.81319,1.0
2.81347,1.0
2.81375,1.0
2.81403,1.0
2.81431,1.0
2.81459,1.0
2.81487,1.0
2.81515,1.0
2.81543,1.0
2.81571,1.0
2.81599,1.0
2.81627,1.0
2.81655,1.0
2.81683,1.0
2.81711,1.0
2.81739,1.0
2.81768,1.0
2.81796,1.0
2.81824,1.0
2.81852,1.0
2.8188,1.0
2.81908,1.0
2.81936,1.0
2.81964,1.0
2.81992,1.0
2.8202,1.0
2.82048,1.0
2.82076,1.0
2.82104,1.0
2.82132,1.0
2.8216,1.0
2.82188,1.0
2.82216,1.0
2.82244,1.0
2.82273,1.0
2.82301,1.0
2.82329,1.0
2.82357,1.0
2.82385,1.0
2.82413,1.0
2.82441,1.0
2.82469,1.0
2.82497,1.0
2.82525,1.0
2.82553,1.0
2.82581,1.0
2.82609,1.0
2.82637,1.0
2.82665,1.0
2.82693,1.0
2.82721,1.0
2.82749,1.0
2.82778,1.0
2.82806,1.0
2.82834,1.0
2.82862,1.0
2.8289,1.0
2.82918,1.0
2.82946,1.0
2.82974,1.0
2.83002,1.0
2.8303,1.0
2.83058,1.0
2.83086,1.0
2.83114,1.0
2.83142,1.0
2.8317,1.0
2.83198,1.0
2.83226,1.0
2.83255,1.0
2.83283,1.0
2.83311,1.0
2.83339,1.0
2.83367,1.0
2.83395,1.0
2.83423,1.0
2.83451,1.0
2.83479,1.0
2.83507,1.0
2.83535,1.0
2.83563,1.0
2.83591,1.0
2.83619,1.0
2.83647,1.0
2.83675,1.0
2.83703,1.0
2.83731,1.0
2.8376,1.0
2.83788,1.0
2.83816,1.0
2.83844,1.0
2.83872,1.0
2.839,1.0
2.83928,1.0
2.83956,1.0
2.83984,1.0
2.84012,1.0
2.8404,1.0
2.84068,1.0
2.84096,1.0
2.84124,1.0
2.84152,1.0
2.8418,1.0
2.84208,1.0
2.84236,1.0
2.84265,1.0
2.84293,1.0
2.84321,1.0
2.84349,1.0
2.84377,1.0
2.84405,1.0
2.84433,1.0
2.84461,1.0
2.84489,1.0
2.84517,1.0
2.84545,1.0
2.84573,1.0
2.84601,1.0
2.84629,1.0
2.84657,1.0
2.84685,1.0
2.84713,1.0
2.84741,1.0
2.8477,1.0
2.84798,1.0
2.84826,1.0
2.84854,1.0
2.84882,1.0
2.8491,1.0
2.84938,1.0
2.84966,1.0
2.84994,1.0
2.85022,1.0
2.8505,1.0
2.85078,1.0
